Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,
206.020554,16.337297,-3.199320,206.020554,16.284306,-2.843369,206.020554,16.457811,-2.800337,206.020554,16.402700,-3.123121,206.020554,16.394971,-2.989414,206.020554,16.459721,-2.828413,206.020554,16.346092,-3.141389,206.020554,16.407178,-2.794087,
206.517960,16.421041,-2.825316,206.517960,16.313771,-3.012019,206.517960,16.400293,-2.779720,206.517960,16.373677,-2.841960,206.517960,16.448673,-2.871301,206.517960,16.489594,-2.703023,206.517960,16.351699,-2.916651,206.517960,16.341010,-2.881741,
207.015366,16.418967,-2.702256,207.015366,16.329178,-2.764472,207.015366,16.429070,-2.626509,207.015366,16.391455,-2.977438,207.015366,16.444345,-2.862992,207.015366,16.471121,-2.599644,207.015366,16.271850,-2.883842,207.015366,16.406400,-2.984680,
207.512802,16.439237,-2.849179,207.512802,16.329234,-2.822032,207.512802,16.417961,-2.788346,207.512802,16.433537,-2.754997,207.512802,16.482893,-2.934441,207.512802,16.485546,-2.809671,207.512802,16.322608,-2.898383,207.512802,16.383238,-3.007909,
208.010223,16.530090,-2.988287,208.010223,16.398479,-2.978175,208.010223,16.490344,-2.513618,208.010223,16.530075,-2.889566,208.010223,16.453032,-2.806980,208.010223,16.502539,-2.943616,208.010223,16.366411,-2.876627,208.010223,16.476414,-2.775982,
208.507675,16.448578,-2.915284,208.507675,16.363747,-2.783671,208.507675,16.431786,-2.635063,208.507675,16.423115,-2.932518,208.507675,16.416673,-2.727642,208.507675,16.500038,-2.710559,208.507675,16.338791,-2.669170,208.507675,16.485631,-2.893521,
209.005142,16.468954,-2.894049,209.005142,16.362782,-2.680708,209.005142,16.450456,-2.586823,209.005142,16.448657,-2.881010,209.005142,16.468895,-2.786544,209.005142,16.560586,-2.496066,209.005142,16.377907,-2.865982,209.005142,16.521143,-2.685884,
209.502609,16.484981,-2.739953,209.502609,16.437541,-2.846548,209.502609,16.478690,-2.509748,209.502609,16.502230,-2.754765,209.502609,16.489676,-2.782366,209.502609,16.556525,-2.600230,209.502609,16.433325,-2.823312,209.502609,16.491169,-2.657290,
210.000092,16.520268,-2.803676,210.000092,16.396535,-2.614990,210.000092,16.518582,-2.374806,210.000092,16.548617,-2.832638,210.000092,16.538044,-2.657534,210.000092,16.566785,-2.507134,210.000092,16.435075,-2.760036,210.000092,16.539217,-2.767659,
210.497589,16.560842,-2.691252,210.497589,16.430592,-2.570241,210.497589,16.520861,-2.491971,210.497589,16.520015,-2.716944,210.497589,16.552994,-2.463161,210.497589,16.629710,-2.440331,210.497589,16.450380,-2.679383,210.497589,16.559418,-2.631320,
210.995087,16.573894,-2.619815,210.995087,16.411328,-2.495588,210.995087,16.483613,-2.572277,210.995087,16.509319,-2.603389,210.995087,16.487278,-2.481401,210.995087,16.583758,-2.369970,210.995087,16.404148,-2.636704,210.995087,16.526359,-2.577349,
211.492615,16.576851,-2.511381,211.492615,16.468396,-2.543039,211.492615,16.514599,-2.321084,211.492615,16.533163,-2.575450,211.492615,16.591810,-2.406214,211.492615,16.596538,-2.609811,211.492615,16.433617,-2.600287,211.492615,16.550047,-2.569451,
211.990143,16.562510,-2.584627,211.990143,16.502503,-2.518093,211.990143,16.558743,-2.343248,211.990143,16.511748,-2.528241,211.990143,16.529021,-2.503719,211.990143,16.621899,-2.396103,211.990143,16.514646,-2.812558,211.990143,16.547139,-2.504478,
212.487686,16.579764,-2.686295,212.487686,16.495555,-2.514183,212.487686,16.547117,-2.253646,212.487686,16.590441,-2.610647,212.487686,16.572227,-2.471446,212.487686,16.603416,-2.363354,212.487686,16.477239,-2.462159,212.487686,16.573384,-2.625380,
212.985229,16.612432,-2.443827,212.985229,16.508343,-2.474561,212.985229,16.535015,-2.193795,212.985229,16.506688,-2.417760,212.985229,16.555198,-2.536371,212.985229,16.636738,-2.538807,212.985229,16.493719,-2.500688,212.985229,16.564859,-2.469764,
213.482803,16.621216,-2.378120,213.482803,16.537088,-2.405313,213.482803,16.552161,-2.184747,213.482803,16.574060,-2.659693,213.482803,16.600386,-2.325149,213.482803,16.639235,-2.386385,213.482803,16.496776,-2.355001,213.482803,16.603752,-2.622334,
213.980377,16.566494,-2.363002,213.980377,16.512126,-2.515927,213.980377,16.547007,-2.070780,213.980377,16.573537,-2.380086,213.980377,16.572943,-2.322200,213.980377,16.605251,-2.365784,213.980377,16.504843,-2.430475,213.980377,16.604193,-2.461057,
214.477966,16.605194,-2.331000,214.477966,16.530292,-2.376064,214.477966,16.554667,-2.192565,214.477966,16.572143,-2.367971,214.477966,16.568272,-2.288660,214.477966,16.616170,-2.201754,214.477966,16.530010,-2.566083,214.477966,16.636325,-2.369266,
214.975571,16.632439,-2.227125,214.975571,16.557030,-2.367588,214.975571,16.551335,-1.991844,214.975571,16.591754,-2.379662,214.975571,16.606572,-2.137320,214.975571,16.617357,-2.373060,214.975571,16.506928,-2.326443,214.975571,16.599374,-2.360466,
215.473175,16.666339,-2.060257,215.473175,16.536632,-2.247336,215.473175,16.555977,-2.042110,215.473175,16.582825,-2.306617,215.473175,16.626791,-2.073224,215.473175,16.642893,-2.318816,215.473175,16.492198,-2.310647,215.473175,16.620247,-2.374727,
215.970795,16.625440,-2.121323,215.970795,16.553112,-2.236753,215.970795,16.570182,-2.039816,215.970795,16.538871,-2.341662,215.970795,16.619241,-2.105494,215.970795,16.605269,-2.183510,215.970795,16.485792,-2.325353,215.970795,16.667383,-2.351222,
216.468430,16.625121,-2.069841,216.468430,16.533032,-2.191778,216.468430,16.570764,-2.042461,216.468430,16.591970,-2.015144,216.468430,16.652910,-1.988367,216.468430,16.625959,-2.175895,216.468430,16.510745,-2.317770,216.468430,16.684091,-2.275398,
216.966080,16.633752,-2.070288,216.966080,16.550396,-2.115280,216.966080,16.564335,-1.708072,216.966080,16.607636,-2.151290,216.966080,16.630804,-1.999538,216.966080,16.603335,-2.290163,216.966080,16.539784,-2.307020,216.966080,16.611660,-2.266360,
217.463730,16.668774,-1.932276,217.463730,16.539117,-2.189609,217.463730,16.598713,-1.814773,217.463730,16.624804,-2.098677,217.463730,16.596832,-2.095537,217.463730,16.623814,-2.193315,217.463730,16.511807,-2.068607,217.463730,16.600368,-2.306755,
217.961411,16.652210,-1.952007,217.961411,16.556981,-2.121122,217.961411,16.610898,-1.783180,217.961411,16.604215,-2.126342,217.961411,16.621397,-1.961504,217.961411,16.651259,-2.010724,217.961411,16.531408,-2.096700,217.961411,16.598601,-2.278964,
218.459091,16.665715,-1.864410,218.459091,16.575644,-2.129744,218.459091,16.559181,-1.628574,218.459091,16.623113,-2.080331,218.459091,16.646074,-1.811645,218.459091,16.646622,-2.009836,218.459091,16.525159,-2.228457,218.459091,16.649237,-2.233144,
218.956772,16.715518,-1.764114,218.956772,16.576724,-2.011855,218.956772,16.625127,-1.560519,218.956772,16.618033,-2.005896,218.956772,16.630839,-1.843342,218.956772,16.636703,-1.978911,218.956772,16.561498,-2.202295,218.956772,16.704071,-2.152458,
219.454483,16.706023,-1.622680,219.454483,16.612512,-2.130543,219.454483,16.599905,-1.668142,219.454483,16.639183,-2.020875,219.454483,16.630032,-1.993693,219.454483,16.667536,-2.039143,219.454483,16.576529,-2.161704,219.454483,16.706433,-2.132385,
219.952194,16.721096,-1.732301,219.952194,16.620943,-2.017466,219.952194,16.650520,-1.555481,219.952194,16.675776,-1.737430,219.952194,16.685767,-1.930378,219.952194,16.704611,-1.866971,219.952194,16.634064,-2.032961,219.952194,16.744651,-2.206372,
220.449921,16.703368,-1.744829,220.449921,16.563744,-1.951554,220.449921,16.648606,-1.684984,220.449921,16.643084,-1.745620,220.449921,16.636141,-1.619910,220.449921,16.635516,-1.922543,220.449921,16.510415,-2.016045,220.449921,16.713415,-2.165822,
220.947662,16.695026,-1.697353,220.947662,16.556323,-1.980001,220.947662,16.587871,-1.555439,220.947662,16.605453,-1.823391,220.947662,16.624476,-1.735717,220.947662,16.674088,-1.919086,220.947662,16.532223,-2.033805,220.947662,16.675882,-2.192485,
221.445419,16.746729,-1.518899,221.445419,16.623120,-1.859369,221.445419,16.580285,-1.474015,221.445419,16.645899,-1.817739,221.445419,16.650455,-1.807655,221.445419,16.678814,-2.135630,221.445419,16.558077,-1.999041,221.445419,16.711117,-1.938906,
221.943176,16.711948,-1.520475,221.943176,16.613604,-1.987897,221.943176,16.622431,-1.636056,221.943176,16.613464,-1.664504,221.943176,16.687890,-1.775906,221.943176,16.682793,-1.995283,221.943176,16.601133,-1.913275,221.943176,16.735067,-2.216775,
222.440948,16.693195,-1.710697,222.440948,16.643536,-1.692034,222.440948,16.579570,-1.516085,222.440948,16.631790,-1.700338,222.440948,16.636310,-1.593174,222.440948,16.694759,-1.856759,222.440948,16.616210,-1.827452,222.440948,16.711253,-2.044588,
222.938736,16.745825,-1.486728,222.938736,16.686039,-1.896721,222.938736,16.605834,-1.487077,222.938736,16.639807,-1.601816,222.938736,16.689441,-1.572367,222.938736,16.698123,-1.912702,222.938736,16.624951,-1.877347,222.938736,16.732477,-2.104990,
223.436523,16.763422,-1.470396,223.436523,16.667362,-1.751821,223.436523,16.628273,-1.423929,223.436523,16.694780,-1.666833,223.436523,16.703958,-1.617021,223.436523,16.716587,-1.816169,223.436523,16.600581,-1.885533,223.436523,16.715329,-1.941173,
223.934341,16.776120,-1.351377,223.934341,16.698915,-1.746300,223.934341,16.658771,-1.337952,223.934341,16.733449,-1.572150,223.934341,16.664913,-1.595929,223.934341,16.723025,-1.956057,223.934341,16.593049,-1.933888,223.934341,16.736304,-1.891751,
224.432159,16.766222,-1.224611,224.432159,16.678845,-1.924910,224.432159,16.602983,-1.420635,224.432159,16.733435,-1.758094,224.432159,16.709920,-1.565482,224.432159,16.711903,-1.874174,224.432159,16.626080,-1.929353,224.432159,16.715915,-1.992531,
224.929977,16.725843,-1.431332,224.929977,16.659518,-1.693049,224.929977,16.646286,-1.315322,224.929977,16.668747,-1.510881,224.929977,16.667113,-1.482878,224.929977,16.695765,-1.765407,224.929977,16.597816,-1.795507,224.929977,16.718801,-2.040839,
225.427826,16.792327,-1.520166,225.427826,16.686285,-1.780181,225.427826,16.593910,-1.315669,225.427826,16.692586,-1.583372,225.427826,16.710399,-1.422013,225.427826,16.718413,-1.828420,225.427826,16.620329,-1.768737,225.427826,16.728922,-1.844949,
225.925674,16.804877,-1.285944,225.925674,16.681128,-1.679770,225.925674,16.666099,-1.234214,225.925674,16.692887,-1.521394,225.925674,16.681497,-1.468429,225.925674,16.716547,-1.866727,225.925674,16.634456,-1.746617,225.925674,16.766317,-1.850651,
226.423538,16.752651,-1.341280,226.423538,16.684731,-1.753792,226.423538,16.604907,-1.459659,226.423538,16.693228,-1.442822,226.423538,16.664145,-1.360999,226.423538,16.709818,-1.770416,226.423538,16.608652,-1.875355,226.423538,16.721268,-1.979272,
