Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,
215.970795,7.300200,45.777263,215.970795,5.951450,41.278882,215.970795,6.018022,42.426314,215.970795,6.355027,43.858536,215.970795,6.326782,34.978526,215.970795,7.084823,52.208045,215.970795,7.373082,41.202635,215.970795,6.807060,43.539898,
216.468430,7.219493,46.168761,216.468430,5.950166,41.210618,216.468430,6.029824,42.223739,216.468430,6.335449,43.417405,216.468430,6.377883,34.904963,216.468430,7.067743,51.435403,216.468430,7.330943,41.499356,216.468430,6.790156,43.801727,
216.966080,7.157015,46.253711,216.966080,5.941821,40.083814,216.966080,6.045273,42.659019,216.966080,6.341014,43.877156,216.966080,6.271259,35.477482,216.966080,6.986706,51.244906,216.966080,7.267116,41.823440,216.966080,6.783568,43.817847,
217.463730,7.026025,46.063531,217.463730,5.883740,40.545167,217.463730,5.996765,42.964831,217.463730,6.293909,44.235392,217.463730,6.259945,35.466250,217.463730,6.887456,50.973352,217.463730,7.096685,42.201857,217.463730,6.734232,43.698261,
217.961411,6.922732,46.043482,217.961411,5.775931,40.334593,217.961411,5.951774,43.072988,217.961411,6.291709,44.042873,217.961411,6.195913,36.079213,217.961411,6.857031,50.911671,217.961411,7.022989,42.265163,217.961411,6.646536,43.827812,
218.459091,6.822931,46.219379,218.459091,5.754659,41.073995,218.459091,5.910093,43.221079,218.459091,6.240859,44.556667,218.459091,6.182806,36.667862,218.459091,6.793529,50.576988,218.459091,6.891486,42.057666,218.459091,6.552009,44.377571,
218.956772,6.719910,45.594861,218.956772,5.667410,40.791187,218.956772,5.926602,43.746549,218.956772,6.232935,44.263447,218.956772,6.045131,37.069479,218.956772,6.694894,50.166262,218.956772,6.805864,42.764742,218.956772,6.498258,44.435650,
219.454483,6.587871,46.270009,219.454483,5.589993,40.555577,219.454483,5.867473,43.833059,219.454483,6.128881,44.327984,219.454483,5.983395,37.880131,219.454483,6.615528,50.232273,219.454483,6.673031,43.349926,219.454483,6.387061,44.777210,
219.952194,6.441351,45.739329,219.952194,5.519606,40.236629,219.952194,5.777034,43.890720,219.952194,6.066480,44.463816,219.952194,5.947697,38.263446,219.952194,6.537623,49.787071,219.952194,6.524011,43.388902,219.952194,6.266725,44.811441,
220.449921,6.323878,45.641520,220.449921,5.415964,40.280408,220.449921,5.702388,44.307469,220.449921,5.992221,44.916717,220.449921,5.872182,38.312602,220.449921,6.374460,49.429465,220.449921,6.434076,43.622762,220.449921,6.166832,45.081714,
220.947662,6.183391,45.579664,220.947662,5.297226,39.747184,220.947662,5.601706,44.378895,220.947662,5.908494,44.742101,220.947662,5.766151,38.095809,220.947662,6.256052,49.459462,220.947662,6.237314,43.868985,220.947662,6.051862,44.849048,
221.445419,6.032893,45.738824,221.445419,5.203261,39.878161,221.445419,5.564148,44.559728,221.445419,5.832614,44.356798,221.445419,5.633739,38.225771,221.445419,6.166763,49.594398,221.445419,6.123083,43.884514,221.445419,5.936638,44.623685,
221.943176,5.841483,44.891042,221.943176,5.141716,39.379322,221.943176,5.409656,44.480793,221.943176,5.703409,44.291814,221.943176,5.559825,38.720755,221.943176,6.007523,48.433279,221.943176,5.903725,43.210812,221.943176,5.780194,44.487291,
222.440948,5.696284,44.652417,222.440948,4.981543,38.904942,222.440948,5.299026,44.165056,222.440948,5.598976,43.631963,222.440948,5.396703,38.454052,222.440948,5.803066,47.726822,222.440948,5.788170,43.047673,222.440948,5.660551,44.008304,
222.938736,5.548555,43.487624,222.938736,4.872682,38.217197,222.938736,5.242213,43.983863,222.938736,5.470300,43.163855,222.938736,5.325228,38.013895,222.938736,5.661327,47.209115,222.938736,5.603980,42.552963,222.938736,5.529735,43.172435,
223.436523,5.375767,43.096725,223.436523,4.755259,37.171797,223.436523,5.149882,43.290766,223.436523,5.367958,42.233732,223.436523,5.194758,38.040633,223.436523,5.522913,46.001743,223.436523,5.470873,41.707663,223.436523,5.385888,42.447842,
223.934341,5.243871,42.089080,223.934341,4.651371,35.783056,223.934341,5.096768,42.811064,223.934341,5.200003,41.430651,223.934341,5.072533,37.196725,223.934341,5.367151,44.663007,223.934341,5.319175,41.098630,223.934341,5.253817,41.849874,
224.432159,5.102055,40.785987,224.432159,4.576206,34.390112,224.432159,5.007984,42.002921,224.432159,5.082159,40.395418,224.432159,4.997037,36.133855,224.432159,5.215513,43.127764,224.432159,5.151582,40.073979,224.432159,5.122799,40.479669,
224.929977,5.016018,39.775425,224.929977,4.469522,33.097699,224.929977,4.913640,41.004045,224.929977,4.989827,39.078595,224.929977,4.909329,35.228025,224.929977,5.086326,41.296699,224.929977,5.009613,38.828892,224.929977,5.043737,39.072764,
225.427826,4.899000,37.782324,225.427826,4.469987,31.380120,225.427826,4.838160,40.356379,225.427826,4.903439,37.539012,225.427826,4.807159,34.496878,225.427826,4.991292,39.862442,225.427826,4.946167,37.606125,225.427826,4.918078,37.355531,
225.925674,4.784070,36.653542,225.925674,4.426980,29.614913,225.925674,4.798269,38.626668,225.925674,4.846676,35.700945,225.925674,4.722799,33.187168,225.925674,4.887140,37.891673,225.925674,4.826169,35.671464,225.925674,4.794533,35.854642,
226.423538,4.721126,34.729208,226.423538,4.342554,28.101531,226.423538,4.768999,37.410447,226.423538,4.788746,34.339938,226.423538,4.717838,31.804092,226.423538,4.798744,35.686559,226.423538,4.765253,34.187880,226.423538,4.727124,34.274623,
226.921417,4.664721,32.395175,226.921417,4.338162,26.005611,226.921417,4.704055,35.446401,226.921417,4.705299,31.956339,226.921417,4.663796,29.746859,226.921417,4.709160,33.596262,226.921417,4.688187,32.209205,226.921417,4.695501,31.853581,
227.419312,4.587628,30.470320,227.419312,4.321711,23.612809,227.419312,4.638933,33.534786,227.419312,4.659082,29.903517,227.419312,4.580323,27.896726,227.419312,4.650626,31.196466,227.419312,4.601705,30.460236,227.419312,4.600928,29.630834,
227.917206,4.563592,28.267160,227.917206,4.289152,21.133126,227.917206,4.597648,31.346615,227.917206,4.599525,27.531007,227.917206,4.558916,25.660248,227.917206,4.603637,28.368725,227.917206,4.559296,28.268905,227.917206,4.592426,27.342598,
228.415115,4.548359,25.536656,228.415115,4.328696,18.591709,228.415115,4.572862,28.829070,228.415115,4.579149,25.178191,228.415115,4.528633,23.572485,228.415115,4.583014,25.540253,228.415115,4.515853,25.391343,228.415115,4.590218,24.847180,
228.913040,4.536457,22.563897,228.913040,4.372148,16.027448,228.913040,4.590361,26.508609,228.913040,4.580264,22.397421,228.913040,4.571231,20.851759,228.913040,4.577952,22.669282,228.913040,4.544930,22.562312,228.913040,4.570879,21.980769,
229.410980,4.572889,19.919294,229.410980,4.430137,13.337376,229.410980,4.631114,23.677383,229.410980,4.660471,19.833254,229.410980,4.593116,18.045193,229.410980,4.621456,19.842283,229.410980,4.588909,20.121896,229.410980,4.619972,19.061575,
229.908920,4.665696,17.074992,229.908920,4.520534,10.789919,229.908920,4.677132,21.297393,229.908920,4.727023,17.241512,229.908920,4.667289,15.399746,229.908920,4.705083,17.056135,229.908920,4.671551,17.395148,229.908920,4.704910,16.294821,
230.406876,4.788859,14.892338,230.406876,4.695849,8.571588,230.406876,4.780744,18.973615,230.406876,4.810240,14.783243,230.406876,4.802798,13.251444,230.406876,4.819287,14.636247,230.406876,4.786402,14.902648,230.406876,4.811332,14.243745,
230.904846,4.931584,12.590561,230.904846,4.858761,6.314363,230.904846,4.882685,16.671437,230.904846,4.998511,12.756346,230.904846,4.961236,11.556549,230.904846,4.963849,12.445889,230.904846,4.892298,13.131438,230.904846,4.920659,12.280320,
